Channel Group,Source,Domain,Date,Funnel,Campaign,Result type,Cost,Results,Result Rate,Cost per Result,Impressions,Clicks,CTR,Reach,Views,ThruPlays,Engagements,Engagement Rate,CPC,CPM,View Rate,CPV,CPE
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 143,"4,339",16.50%,€ 0.03,"26,316",0,0.00%,"26,316","38,445","4,339","13,664",51.90%, € -   ,€ 5.43,11.30%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 35,760,60.80%,€ 0.05,"1,251",0,0.00%,"1,243","2,399",760,857,68.50%, € -   ,€ 28.06,31.70%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 18,"13,422",89.10%,€ 0.00,"15,057",10,0.10%,"13,422","18,254",51,275,1.80%,€ 1.77,€ 1.17,0.30%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 21,"14,219",85.30%,€ 0.00,"16,671",0,0.00%,"14,219","19,446",43,309,1.90%, € -   ,€ 1.26,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 158,"4,618",17.10%,€ 0.03,"26,992",1,0.00%,"26,818","40,879","4,618","14,246",52.80%,€ 157.50,€ 5.84,11.30%,€ 0.00,€ 0.01
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_darkpost_photoderm_x-defense_awareness,ThruPlay,€ 41,894,60.00%,€ 0.05,"1,491",0,0.00%,"1,436","2,815",894,992,66.50%, € -   ,€ 27.28,31.80%,€ 0.01,€ 0.04
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"14,698",89.90%,€ 0.00,"16,343",7,0.00%,"14,698","21,029",42,310,1.90%,€ 2.82,€ 1.21,0.20%,€ 0.00,€ 0.06
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 6,"4,837",97.10%,€ 0.00,"4,983",0,0.00%,"4,837","5,984",20,199,4.00%, € -   ,€ 1.22,0.30%,€ 0.00,€ 0.03
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_sensibio_na_awareness,Reach,€ 20,"13,535",90.50%,€ 0.00,"14,954",13,0.10%,"13,535","19,030",34,269,1.80%,€ 1.53,€ 1.33,0.20%,€ 0.00,€ 0.07
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_na_awareness,Reach,€ 6,"4,197",100.00%,€ 0.00,"4,197",0,0.00%,"4,197","5,388",23,183,4.40%, € -   ,€ 1.35,0.40%,€ 0.00,€ 0.03
 Paid Social , meta , BIODERMA ,Jul-25,Awareness,de_bio_meta_insta_acq_boosted-post_photoderm_x-defense_awareness,ThruPlay,€ 155,"4,452",17.00%,€ 0.03,"26,131",1,0.00%,"26,131","41,623","4,452","13,320",51.00%,€ 155.49,€ 5.95,10.70%,€ 0.00,€ 0.01
